Var1,Var2
738935.791666667,2
738935.795138889,1
738935.798611111,2
738935.802083333,3
738935.805555556,3
738935.809027778,3
738935.8125,3
738935.815972222,3
738935.819444444,3
738935.822916667,2
738935.826388889,2
738935.829861111,2
738935.833333333,2
738935.836805556,2
738935.840277778,2
738935.84375,2
738935.847222222,2
738935.850694444,2
738935.854166667,2
738935.857638889,1
738935.861111111,2
738935.864583333,2
738935.868055556,2
738935.871527778,2
738935.875,2
738935.878472222,2
738935.881944444,2
738935.885416667,2
738935.888888889,2
738935.892361111,1
738935.895833333,3
738935.899305556,3
738935.902777778,3
738935.90625,1
738935.909722222,1
738935.913194444,1
738935.916666667,1
738935.920138889,1
738935.923611111,1
738935.927083333,1
738935.930555556,3
738935.934027778,1
738935.9375,3
738935.940972222,1
738935.944444444,3
738935.947916667,3
738935.951388889,1
738935.954861111,3
738935.958333333,3
738935.961805556,3
738935.965277778,1
738935.96875,1
738935.972222222,1
738935.975694444,3
738935.979166667,3
738935.982638889,3
738935.986111111,3
738935.989583333,3
738935.993055556,3
738935.996527778,3
738936,3
738936.003472222,3
738936.006944444,3
738936.010416667,3
738936.013888889,3
738936.017361111,3
738936.020833333,3
738936.024305556,3
738936.027777778,3
738936.03125,3
738936.034722222,3
738936.038194444,3
738936.041666667,3
738936.045138889,3
738936.048611111,3
738936.052083333,3
738936.055555556,3
738936.059027778,3
738936.0625,3
738936.065972222,3
738936.069444444,1
738936.072916667,1
738936.076388889,1
738936.079861111,1
738936.083333333,1
738936.086805556,1
738936.090277778,1
738936.09375,1
738936.097222222,1
738936.100694444,1
738936.104166667,1
738936.107638889,1
738936.111111111,1
738936.114583333,1
738936.118055556,1
738936.121527778,1
738936.125,3
738936.128472222,1
738936.131944444,3
738936.135416667,3
738936.138888889,1
738936.142361111,1
738936.145833333,1
738936.149305556,1
738936.152777778,2
738936.15625,3
738936.159722222,2
738936.163194444,2
738936.166666667,3
738936.170138889,2
738936.173611111,2
738936.177083333,1
738936.180555556,1
738936.184027778,3
738936.1875,2
738936.190972222,2
738936.194444444,2
738936.197916667,2
738936.201388889,2
738936.204861111,2
738936.208333333,2
738936.211805556,2
738936.215277778,2
738936.21875,2
738936.222222222,2
738936.225694444,2
738936.229166667,2
738936.232638889,2
738936.236111111,2
738936.239583333,2
738936.243055556,2
738936.246527778,2
738936.25,2
738936.253472222,2
738936.256944444,2
738936.260416667,2
738936.263888889,2
738936.267361111,2
738936.270833333,2
738936.274305556,3
738936.277777778,3
738936.28125,3
738936.284722222,3
738936.288194444,3
738936.291666667,3
738936.295138889,3
738936.298611111,3
738936.302083333,3
738936.305555556,2
738936.309027778,2
738936.3125,2
738936.315972222,2
738936.319444444,2
738936.322916667,2
738936.326388889,2
738936.329861111,2
738936.333333333,2
738936.336805556,2
738936.340277778,2
738936.34375,2
738936.347222222,2
738936.350694444,2
738936.354166667,2
738936.357638889,2
738936.361111111,2
738936.364583333,2
738936.368055556,2
738936.371527778,2
738936.375,2
738936.378472222,2
738936.381944444,2
738936.385416667,2
738936.388888889,2
738936.392361111,2
738936.395833333,2
738936.399305556,2
738936.402777778,1
738936.40625,2
738936.409722222,1
738936.413194444,2
738936.416666667,2
738936.420138889,2
738936.423611111,2
738936.427083333,2
738936.430555556,2
738936.434027778,2
738936.4375,2
738936.440972222,2
738936.444444444,2
738936.447916667,2
738936.451388889,2
738936.454861111,2
738936.458333333,3
738936.461805556,3
738936.465277778,3
738936.46875,3
738936.472222222,2
738936.475694444,3
738936.479166667,2
738936.482638889,2
738936.486111111,2
738936.489583333,3
738936.493055556,3
738936.496527778,2
738936.5,2
738936.503472222,2
738936.506944444,3
738936.510416667,2
738936.513888889,2
738936.517361111,2
738936.520833333,2
738936.524305556,3
738936.527777778,3
738936.53125,3
738936.534722222,3
738936.538194444,3
738936.541666667,3
738936.545138889,3
738936.548611111,3
738936.552083333,3
738936.555555556,3
738936.559027778,1
738936.5625,3
738936.565972222,3
738936.569444444,3
738936.572916667,3
738936.576388889,3
738936.579861111,1
738936.583333333,3
738936.586805556,3
738936.590277778,1
738936.59375,1
738936.597222222,1
738936.600694444,3
738936.604166667,3
738936.607638889,3
738936.611111111,3
738936.614583333,3
